[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=8191
YRANGE=0
NAME=C:\Dokumente, und, Einstellungen\Praktikum\Desktop\ELyas\Ba_Full_Spectrum.csv
XTITLE=x
YTITLE=y

[DATA]
1170, 0, 245
1171, 0, 254
1172, 0, 271
1173, 0, 237
1174, 0, 268
1175, 0, 241
1176, 0, 282
1177, 0, 267
1178, 0, 285
1179, 0, 282
1180, 0, 300
1181, 0, 293
1182, 0, 289
1183, 0, 277
1184, 0, 305
1185, 0, 302
1186, 0, 335
1187, 0, 350
1188, 0, 327
1189, 0, 318
1190, 0, 294
1191, 0, 315
1192, 0, 339
1193, 0, 349
1194, 0, 349
1195, 0, 321
1196, 0, 365
1197, 0, 392
1198, 0, 375
1199, 0, 375
1200, 0, 359
1201, 0, 366
1202, 0, 348
1203, 0, 393
1204, 0, 392
1205, 0, 365
1206, 0, 390
1207, 0, 403
1208, 0, 422
1209, 0, 442
1210, 0, 423
1211, 0, 419
1212, 0, 416
1213, 0, 395
1214, 0, 390
1215, 0, 434
1216, 0, 449
1217, 0, 445
1218, 0, 454
1219, 0, 458
1220, 0, 467
1221, 0, 466
1222, 0, 441
1223, 0, 470
1224, 0, 495
1225, 0, 487
1226, 0, 500
1227, 0, 488
1228, 0, 457
1229, 0, 456
1230, 0, 487
1231, 0, 489
1232, 0, 505
1233, 0, 505
1234, 0, 462
1235, 0, 481
1236, 0, 473
1237, 0, 481
1238, 0, 500
1239, 0, 495
1240, 0, 556
1241, 0, 477
1242, 0, 480
1243, 0, 502
1244, 0, 491
1245, 0, 478
1246, 0, 474
1247, 0, 469
1248, 0, 488
1249, 0, 534
1250, 0, 474
1251, 0, 485
1252, 0, 479
1253, 0, 440
1254, 0, 454
1255, 0, 463
1256, 0, 502
1257, 0, 468
1258, 0, 476
1259, 0, 462
1260, 0, 428
1261, 0, 420
1262, 0, 495
1263, 0, 409
1264, 0, 488
1265, 0, 408
1266, 0, 428
1267, 0, 439
1268, 0, 393
1269, 0, 418
1270, 0, 452
1271, 0, 454
1272, 0, 429
1273, 0, 424
1274, 0, 387
1275, 0, 412
1276, 0, 359
1277, 0, 392
1278, 0, 394
1279, 0, 348
1280, 0, 375
1281, 0, 357
1282, 0, 369
1283, 0, 370
1284, 0, 331
1285, 0, 354
1286, 0, 352
1287, 0, 335
1288, 0, 338
1289, 0, 286
1290, 0, 297
1291, 0, 264
1292, 0, 306
1293, 0, 293
1294, 0, 284
1295, 0, 272
1296, 0, 260
1297, 0, 295
1298, 0, 250
1299, 0, 300
1300, 0, 271
1301, 0, 244
1302, 0, 236
1303, 0, 252
1304, 0, 221
1305, 0, 237
1306, 0, 201
1307, 0, 212
1308, 0, 216
1309, 0, 190
1310, 0, 200
1311, 0, 204
1312, 0, 200
1313, 0, 208
1314, 0, 178
1315, 0, 180
1316, 0, 180
1317, 0, 190
1318, 0, 196
1319, 0, 168
1320, 0, 152
1321, 0, 152
1322, 0, 157
1323, 0, 151
1324, 0, 131
1325, 0, 128
1326, 0, 118
1327, 0, 128
1328, 0, 136
1329, 0, 126
1330, 0, 128
1331, 0, 130
1332, 0, 113
1333, 0, 115
1334, 0, 108
1335, 0, 102
1336, 0, 89
1337, 0, 98
1338, 0, 82
1339, 0, 106
1340, 0, 107
1341, 0, 77
1342, 0, 85
1343, 0, 103
1344, 0, 90
1345, 0, 89
1346, 0, 74
1347, 0, 90
1348, 0, 81
1349, 0, 62
1350, 0, 75
1351, 0, 77
1352, 0, 64
1353, 0, 62
1354, 0, 61
1355, 0, 62
1356, 0, 54
1357, 0, 50
1358, 0, 58
1359, 0, 46
1360, 0, 58
1361, 0, 56
1362, 0, 46
1363, 0, 45
1364, 0, 48
1365, 0, 42
1366, 0, 59
1367, 0, 56
1368, 0, 49
1369, 0, 49
1370, 0, 42
1371, 0, 45
1372, 0, 47
1373, 0, 51
1374, 0, 55
1375, 0, 43
1376, 0, 42
1377, 0, 50
1378, 0, 37
1379, 0, 43
1380, 0, 46
1381, 0, 39
1382, 0, 35
1383, 0, 34
1384, 0, 42
1385, 0, 34
1386, 0, 33
1387, 0, 41
1388, 0, 32
1389, 0, 36
1390, 0, 36
1391, 0, 30
1392, 0, 34
1393, 0, 36
1394, 0, 36
1395, 0, 40
1396, 0, 21
1397, 0, 27
1398, 0, 33
1399, 0, 30
1400, 0, 39
1401, 0, 29
1402, 0, 29
1403, 0, 24
1404, 0, 38
1405, 0, 42
1406, 0, 37
1407, 0, 29
1408, 0, 23
1409, 0, 25
1410, 0, 27
1411, 0, 30
1412, 0, 37
1413, 0, 26
1414, 0, 36
1415, 0, 20
1416, 0, 30
1417, 0, 37
1418, 0, 32
1419, 0, 32
1420, 0, 32
1421, 0, 33
1422, 0, 25
1423, 0, 39
1424, 0, 21
1425, 0, 32
1426, 0, 47
1427, 0, 32
1428, 0, 32
1429, 0, 34
1430, 0, 38
1431, 0, 32
1432, 0, 39
1433, 0, 35
1434, 0, 22
1435, 0, 33
1436, 0, 33
1437, 0, 28
1438, 0, 30
1439, 0, 26
1440, 0, 27
1441, 0, 28
1442, 0, 23
1443, 0, 24
1444, 0, 40
1445, 0, 30
1446, 0, 33
1447, 0, 31
1448, 0, 23
1449, 0, 47
1450, 0, 22
1451, 0, 33
1452, 0, 19
1453, 0, 32
1454, 0, 25
1455, 0, 27
1456, 0, 26
1457, 0, 31
1458, 0, 25
1459, 0, 26
1460, 0, 32
1461, 0, 30
1462, 0, 34
1463, 0, 30
1464, 0, 29
1465, 0, 36
1466, 0, 36
1467, 0, 30
1468, 0, 25
1469, 0, 37
1470, 0, 25
1471, 0, 30
1472, 0, 37
1473, 0, 35
1474, 0, 39
1475, 0, 33
1476, 0, 37
1477, 0, 34
1478, 0, 24
1479, 0, 34
1480, 0, 35
1481, 0, 38
1482, 0, 19
1483, 0, 35
1484, 0, 25
1485, 0, 26
1486, 0, 42
1487, 0, 30
1488, 0, 25
1489, 0, 37
1490, 0, 37
1491, 0, 30
1492, 0, 43
1493, 0, 35
1494, 0, 28
1495, 0, 35
1496, 0, 26
1497, 0, 35
1498, 0, 26
1499, 0, 38
1500, 0, 33
1501, 0, 34
1502, 0, 34
1503, 0, 36
1504, 0, 36
1505, 0, 48
1506, 0, 30
1507, 0, 23
1508, 0, 33
1509, 0, 34
1510, 0, 27
1511, 0, 31
1512, 0, 23
1513, 0, 27
1514, 0, 21
1515, 0, 39
1516, 0, 24
1517, 0, 25
1518, 0, 24
1519, 0, 40
1520, 0, 26
1521, 0, 37
1522, 0, 28
1523, 0, 25
1524, 0, 30
1525, 0, 25
1526, 0, 32
1527, 0, 36
1528, 0, 33
1529, 0, 40
1530, 0, 38
1531, 0, 38
1532, 0, 35
1533, 0, 31
1534, 0, 35
1535, 0, 38
1536, 0, 29
1537, 0, 30
1538, 0, 27
1539, 0, 26
1540, 0, 29
1541, 0, 22
1542, 0, 23
1543, 0, 30
1544, 0, 31
1545, 0, 44
1546, 0, 24
1547, 0, 35
1548, 0, 32
1549, 0, 32
1550, 0, 31
1551, 0, 32
1552, 0, 31
1553, 0, 38
1554, 0, 35
1555, 0, 42
1556, 0, 30
1557, 0, 26
1558, 0, 30
1559, 0, 42
1560, 0, 41
1561, 0, 32
1562, 0, 41
1563, 0, 35
1564, 0, 24
1565, 0, 30
1566, 0, 28
1567, 0, 28
1568, 0, 29
1569, 0, 21
1570, 0, 32
1571, 0, 37
1572, 0, 42
1573, 0, 33
1574, 0, 37
1575, 0, 34
1576, 0, 26
1577, 0, 35
1578, 0, 36
1579, 0, 44
1580, 0, 29
1581, 0, 38
1582, 0, 34
1583, 0, 27
1584, 0, 26
1585, 0, 32
1586, 0, 34
1587, 0, 38
1588, 0, 28
1589, 0, 35
1590, 0, 27
1591, 0, 41
1592, 0, 34
1593, 0, 32
1594, 0, 42
1595, 0, 47
1596, 0, 39
1597, 0, 28
1598, 0, 31
1599, 0, 44
1600, 0, 49
1601, 0, 25
1602, 0, 38
1603, 0, 37
1604, 0, 27
1605, 0, 33
1606, 0, 37
1607, 0, 31
1608, 0, 37
1609, 0, 41
1610, 0, 43
1611, 0, 50
1612, 0, 31
1613, 0, 38
1614, 0, 32
1615, 0, 44
1616, 0, 35
1617, 0, 44
1618, 0, 39
1619, 0, 43
1620, 0, 34
1621, 0, 33
1622, 0, 31
1623, 0, 48
1624, 0, 33
1625, 0, 37
1626, 0, 41
1627, 0, 30
1628, 0, 50
1629, 0, 40
1630, 0, 50
1631, 0, 43
1632, 0, 37
1633, 0, 37
1634, 0, 46
1635, 0, 56
1636, 0, 28
1637, 0, 49
1638, 0, 48
1639, 0, 45
1640, 0, 35
1641, 0, 38
1642, 0, 43
1643, 0, 60
1644, 0, 46
1645, 0, 38
1646, 0, 37
1647, 0, 53
1648, 0, 40
1649, 0, 38
1650, 0, 37
1651, 0, 43
1652, 0, 45
1653, 0, 34
1654, 0, 52
1655, 0, 41
1656, 0, 50
1657, 0, 45
1658, 0, 37
1659, 0, 48
