[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=8191
YRANGE=0
NAME=C:\Dokumente, und, Einstellungen\Praktikum\Desktop\ELyas\left_Na_2_withSCAadjustment.csv
XTITLE=x
YTITLE=y

[DATA]
7036, 0, 228
7037, 0, 234
7038, 0, 230
7039, 0, 260
7040, 0, 232
7041, 0, 237
7042, 0, 247
7043, 0, 260
7044, 0, 219
7045, 0, 221
7046, 0, 234
7047, 0, 232
7048, 0, 248
7049, 0, 250
7050, 0, 237
7051, 0, 222
7052, 0, 236
7053, 0, 231
7054, 0, 203
7055, 0, 239
7056, 0, 240
7057, 0, 227
7058, 0, 224
7059, 0, 214
7060, 0, 208
7061, 0, 230
7062, 0, 214
7063, 0, 209
7064, 0, 258
7065, 0, 262
7066, 0, 235
7067, 0, 238
7068, 0, 264
7069, 0, 242
7070, 0, 250
7071, 0, 228
7072, 0, 197
7073, 0, 225
7074, 0, 233
7075, 0, 250
7076, 0, 228
7077, 0, 244
7078, 0, 227
7079, 0, 231
7080, 0, 216
7081, 0, 245
7082, 0, 218
7083, 0, 238
7084, 0, 223
7085, 0, 214
7086, 0, 254
7087, 0, 237
7088, 0, 226
7089, 0, 217
7090, 0, 211
7091, 0, 248
7092, 0, 235
7093, 0, 212
7094, 0, 230
7095, 0, 247
7096, 0, 226
7097, 0, 244
7098, 0, 255
7099, 0, 233
7100, 0, 277
7101, 0, 249
7102, 0, 239
7103, 0, 240
7104, 0, 233
7105, 0, 235
7106, 0, 230
7107, 0, 245
7108, 0, 219
7109, 0, 204
7110, 0, 224
7111, 0, 245
7112, 0, 220
7113, 0, 235
7114, 0, 200
7115, 0, 268
7116, 0, 204
7117, 0, 243
7118, 0, 224
7119, 0, 249
7120, 0, 239
7121, 0, 211
7122, 0, 227
7123, 0, 228
7124, 0, 247
7125, 0, 236
7126, 0, 211
7127, 0, 245
7128, 0, 252
7129, 0, 256
7130, 0, 223
7131, 0, 209
7132, 0, 246
7133, 0, 239
7134, 0, 252
7135, 0, 235
7136, 0, 208
7137, 0, 212
7138, 0, 229
7139, 0, 220
7140, 0, 224
7141, 0, 253
7142, 0, 245
7143, 0, 218
7144, 0, 234
7145, 0, 215
7146, 0, 195
7147, 0, 202
7148, 0, 241
7149, 0, 193
7150, 0, 239
7151, 0, 229
7152, 0, 220
7153, 0, 219
7154, 0, 235
7155, 0, 223
7156, 0, 213
7157, 0, 223
7158, 0, 218
7159, 0, 208
7160, 0, 210
7161, 0, 215
7162, 0, 220
7163, 0, 210
7164, 0, 229
7165, 0, 226
7166, 0, 227
7167, 0, 204
7168, 0, 208
7169, 0, 208
7170, 0, 236
7171, 0, 214
7172, 0, 237
7173, 0, 241
7174, 0, 224
7175, 0, 210
7176, 0, 194
7177, 0, 198
7178, 0, 214
7179, 0, 197
7180, 0, 224
7181, 0, 199
7182, 0, 228
7183, 0, 205
7184, 0, 209
7185, 0, 229
7186, 0, 208
7187, 0, 205
7188, 0, 191
7189, 0, 183
7190, 0, 206
7191, 0, 192
7192, 0, 189
7193, 0, 203
7194, 0, 192
7195, 0, 231
7196, 0, 181
7197, 0, 197
7198, 0, 213
7199, 0, 198
7200, 0, 186
7201, 0, 192
7202, 0, 177
7203, 0, 224
7204, 0, 199
7205, 0, 178
7206, 0, 213
7207, 0, 213
7208, 0, 170
7209, 0, 168
7210, 0, 184
7211, 0, 216
7212, 0, 207
7213, 0, 194
7214, 0, 228
7215, 0, 204
7216, 0, 182
7217, 0, 185
7218, 0, 184
7219, 0, 198
7220, 0, 217
7221, 0, 197
7222, 0, 183
7223, 0, 153
7224, 0, 175
7225, 0, 188
7226, 0, 182
7227, 0, 177
7228, 0, 193
7229, 0, 224
7230, 0, 190
7231, 0, 159
7232, 0, 191
7233, 0, 183
7234, 0, 186
