[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=8191
YRANGE=0
NAME=C:\Dokumente, und, Einstellungen\Praktikum\Desktop\ELyas\right_Na_2_withSCAadjustment.csv
XTITLE=x
YTITLE=y

[DATA]
7570, 0, 131
7571, 0, 113
7572, 0, 144
7573, 0, 145
7574, 0, 116
7575, 0, 106
7576, 0, 108
7577, 0, 113
7578, 0, 133
7579, 0, 99
7580, 0, 138
7581, 0, 124
7582, 0, 129
7583, 0, 98
7584, 0, 115
7585, 0, 107
7586, 0, 139
7587, 0, 115
7588, 0, 127
7589, 0, 114
7590, 0, 110
7591, 0, 108
7592, 0, 122
7593, 0, 113
7594, 0, 109
7595, 0, 125
7596, 0, 124
7597, 0, 123
7598, 0, 104
7599, 0, 102
7600, 0, 107
7601, 0, 83
7602, 0, 96
7603, 0, 112
7604, 0, 112
7605, 0, 114
7606, 0, 97
7607, 0, 110
7608, 0, 81
7609, 0, 100
7610, 0, 91
7611, 0, 111
7612, 0, 104
7613, 0, 95
7614, 0, 112
7615, 0, 119
7616, 0, 107
7617, 0, 99
7618, 0, 94
7619, 0, 109
7620, 0, 114
7621, 0, 85
7622, 0, 78
7623, 0, 102
7624, 0, 98
7625, 0, 88
7626, 0, 85
7627, 0, 109
7628, 0, 87
7629, 0, 97
7630, 0, 93
7631, 0, 92
7632, 0, 96
7633, 0, 115
7634, 0, 109
7635, 0, 84
7636, 0, 76
7637, 0, 83
7638, 0, 80
7639, 0, 91
7640, 0, 86
7641, 0, 109
7642, 0, 69
7643, 0, 94
7644, 0, 99
7645, 0, 86
7646, 0, 98
7647, 0, 74
7648, 0, 93
7649, 0, 97
7650, 0, 92
7651, 0, 105
7652, 0, 80
7653, 0, 80
7654, 0, 74
7655, 0, 95
7656, 0, 85
7657, 0, 84
7658, 0, 75
7659, 0, 89
7660, 0, 67
7661, 0, 59
7662, 0, 67
7663, 0, 66
7664, 0, 77
7665, 0, 85
7666, 0, 64
7667, 0, 78
7668, 0, 80
7669, 0, 78
7670, 0, 68
7671, 0, 76
7672, 0, 68
7673, 0, 90
7674, 0, 85
7675, 0, 78
7676, 0, 73
7677, 0, 73
7678, 0, 67
7679, 0, 80
7680, 0, 69
7681, 0, 64
7682, 0, 73
7683, 0, 65
7684, 0, 84
7685, 0, 69
7686, 0, 52
7687, 0, 70
7688, 0, 83
7689, 0, 65
7690, 0, 71
7691, 0, 68
7692, 0, 65
7693, 0, 61
7694, 0, 71
7695, 0, 73
7696, 0, 81
7697, 0, 60
7698, 0, 67
7699, 0, 62
7700, 0, 63
7701, 0, 71
7702, 0, 64
7703, 0, 68
7704, 0, 61
7705, 0, 50
7706, 0, 60
7707, 0, 58
7708, 0, 55
7709, 0, 74
7710, 0, 50
7711, 0, 67
7712, 0, 55
7713, 0, 60
7714, 0, 49
7715, 0, 47
7716, 0, 63
7717, 0, 62
7718, 0, 58
7719, 0, 55
7720, 0, 46
7721, 0, 65
7722, 0, 49
7723, 0, 46
7724, 0, 64
7725, 0, 51
7726, 0, 48
7727, 0, 58
7728, 0, 38
7729, 0, 52
7730, 0, 69
7731, 0, 50
7732, 0, 50
7733, 0, 59
7734, 0, 40
7735, 0, 56
7736, 0, 49
7737, 0, 34
7738, 0, 46
7739, 0, 45
7740, 0, 49
7741, 0, 60
7742, 0, 51
7743, 0, 68
7744, 0, 46
7745, 0, 48
7746, 0, 62
7747, 0, 44
7748, 0, 47
7749, 0, 56
7750, 0, 39
7751, 0, 34
7752, 0, 39
7753, 0, 50
7754, 0, 48
7755, 0, 45
7756, 0, 54
7757, 0, 42
